"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
808,"58","M","BOS","Radeljic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,"58","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,"58","D","ENG","Houghton","passes.f.c",NA,NA,"th","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,"58","D","ENG","Stokes","lost.touch",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"58","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,"58","D","BOS","Amira Spahic","clearances",NA,NA,NA,"D","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,"58","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,"58","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815,"58","F","ENG","Aluko","lost.touch",NA,NA,NA,"D","BOS","M Hasanbegovic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816,"59","F","BOS","Alisa Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"59","F","BOS","Alisa Spahic","passes.b",NA,NA,NA,"F","ENG","Aluko","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,"59","F","ENG","Christiansen","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,"59","F","ENG","Christiansen","passes.b.c",NA,NA,NA,"D","BOS","Amira Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820,"59","F","ENG","J Scott","passes.f",NA,NA,"th","M","BOS","Aleksic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
821,"59","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,"59","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,"59","M","ENG","Nobbs","passes.f",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,"59","-",NA,NA,NA,NA,NA,NA,"F","BOS","Alisa Spahic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,"59","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,"59","M","BOS","Nikolic","passes.f",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,"59","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,"59","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,"59","M","ENG","Bassett","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,"59","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,"59","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,"59","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
832,"59","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,"59","M","ENG","Davison","take.on.won",NA,NA,NA,"D","BOS","Kulis","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"59","M","ENG","Davison","movement",NA,NA,NA,"M","BOS","Aleksic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"59","M","ENG","Davison","dispossessed",NA,NA,NA,"D","BOS","Amira Spahic","tackles.ball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,"59","M","BOS","Radeljic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
837,"59","M","BOS","Radeljic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,"59","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
839,"59","D","ENG","Stoney","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,"59","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
841,"59","F","ENG","J Scott","passes.f.c",NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,"60","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,"60","-",NA,NA,NA,NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843,"60","D","ENG","Houghton","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,"60","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"60","F","ENG","Christiansen","passes.f.c",NA,NA,"th","M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"60","-",NA,NA,NA,NA,NA,NA,"M","BOS","Seslija","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"60","D","ENG","Stokes","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"60","D","ENG","Stokes","passes.b.c",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"60","-",NA,NA,NA,NA,NA,NA,"F","BOS","Alisa Spahic","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
848,"60","F","ENG","Christiansen","substitution.off",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,"60","F","ENG","Duggan","substitution.on",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,"60","D","ENG","Stokes","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,"60","D","ENG","Stoney","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,"60","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
853,"60","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"60","F","ENG","Duggan","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
855,"60","M","ENG","Nobbs","passes.b.c",NA,NA,"lay.off","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
856,"60","F","ENG","Duggan","passes.f",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
857,"60","M","BOS","Aleksic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858,"60","M","BOS","Aleksic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,"61","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,"61","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
861,"61","M","ENG","Bassett","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,"61","D","ENG","Stokes","passes.f.c",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,"61","F","ENG","Duggan","lost.touch",NA,NA,NA,"F","BOS","Alisa Spahic","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,"61","M","ENG","Bassett","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
865,"61","M","ENG","Bassett","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866,"61","M","ENG","Bassett","passes.s.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
867,"61","M","ENG","Nobbs","passes.s.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
868,"61","F","ENG","J Scott","passes.f.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
869,"61","M","ENG","Davison","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870,"61","D","ENG","Houghton","lost.touch",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"61","F","BOS","Alisa Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
872,"61","F","BOS","Alisa Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
873,"61","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,"61","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
875,"61","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
876,"61","M","ENG","Bassett","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,"61","M","ENG","Bassett","passes.f.c",NA,NA,NA,"M","BOS","Seslija","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878,"61","F","ENG","Duggan","passes.b.c",NA,NA,"lay.off","D","BOS","M Hasanbegovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
879,"61","M","ENG","Bassett","passes.f.c",NA,NA,NA,"M","BOS","Seslija","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
880,"62","D","ENG","Stokes","passes.f.c",NA,NA,"flick.on","D","BOS","Dijakovic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,"62","M","ENG","Bassett","dispossessed",NA,NA,NA,"D","BOS","Dijakovic","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
882,"62","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,"62","F","ENG","Duggan","take.on.won",NA,NA,NA,"F","BOS","Alisa Spahic","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,"62","F","ENG","Duggan","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"62","M","ENG","Nobbs","passes.f",NA,NA,NA,"M","BOS","Aleksic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"62","-",NA,NA,NA,NA,NA,NA,"GK","BOS","Hodzic","gk.loose.balls.won",NA,"collected",NA,NA,NA,NA,NA,NA,NA,NA
886,"62","GK","BOS","Hodzic","passes.f",NA,NA,"gk.drop.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,"62","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"62","F","ENG","J Scott","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
888,"62","F","ENG","J Scott","passes.s.c",NA,NA,"headed","M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
889,"62","F","ENG","Duggan","passes.f.c",NA,NA,"headed","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
890,"62","F","ENG","Aluko","take.on.lost",NA,NA,NA,"D","BOS","M Hasanbegovic","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
891,"62","D","ENG","Stokes","passes.s.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
892,"62","F","ENG","Duggan","lost.touch",NA,NA,NA,"M","BOS","Seslija","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
893,"62","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,"62","M","BOS","Nikolic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,"63","GK","ENG","Bardsley","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,"63","GK","ENG","Bardsley","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,"63","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
898,"63","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"63","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,"63","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901,"63","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,"63","M","ENG","Bassett","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
903,"63","D","ENG","Stokes","passes.s.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,"63","F","ENG","Duggan","passes.f.c",NA,NA,NA,"M","BOS","Nikolic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,"63","F","ENG","J Scott","passes.f",NA,NA,"flick.on","M","BOS","Aleksic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,"63","-",NA,NA,NA,NA,NA,NA,"GK","BOS","Hodzic","gk.loose.balls.won",NA,"collected",NA,NA,NA,NA,NA,NA,NA,NA
906,"63","GK","BOS","Hodzic","passes.f",NA,NA,"gk.drop.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,"63","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"63","D","ENG","Stoney","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
908,"63","D","ENG","Stoney","passes.f",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
909,"63","M","BOS","Nikolic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,"63","M","BOS","Nikolic","passes.f",NA,NA,"headed","M","ENG","Nobbs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
911,"63","M","ENG","Bassett","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
912,"63","M","ENG","Bassett","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,"63","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
914,"63","D","ENG","Stoney","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
915,"63","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916,"64","D","ENG","Stokes","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
917,"64","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,"64","M","ENG","Bassett","passes.f",NA,NA,NA,"D","BOS","Kulis","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
919,"64","D","BOS","Kulis","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,"64","GK","ENG","Bardsley","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921,"64","GK","ENG","Bardsley","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,"64","D","ENG","Houghton","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,"64","D","ENG","Turner","passes.f",NA,NA,"launch","M","BOS","Aleksic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,"64","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,"64","-",NA,NA,NA,NA,NA,NA,"D","BOS","M Hasanbegovic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,"64","F","ENG","Aluko","lost.touch",NA,NA,NA,"D","BOS","Amira Spahic","challenged",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
925,"65","GK","BOS","Hodzic","passes.f",NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
925,"65","-",NA,NA,NA,NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,"65","M","ENG","Bassett","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927,"65","M","ENG","Bassett","passes.f.c",NA,NA,"headed","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
928,"65","M","ENG","Davison","dispossessed",NA,NA,NA,"D","BOS","Kulis","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
929,"65","M","ENG","Davison","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
930,"65","D","ENG","Turner","passes.b.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
931,"65","D","ENG","Houghton","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
932,"65","D","ENG","Turner","passes.f.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
932,"65","-",NA,NA,NA,NA,NA,NA,"M","BOS","Aleksic","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
933,"65","F","ENG","Duggan","passes.s.c",NA,NA,"corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
933,"65","-",NA,NA,NA,NA,NA,"corner.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,"65","D","ENG","Houghton","aerial.won",NA,NA,NA,"M","BOS","Radeljic","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
935,"65","F","ENG","J Scott","take.on.lost",NA,NA,NA,"D","BOS","Kulis","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
936,"65","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,"65","D","BOS","Amira Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
937,"65","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
938,"66","F","ENG","Duggan","passes.s.c",NA,NA,NA,"D","BOS","Amira Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
939,"66","M","ENG","Nobbs","passes.b.c",NA,NA,NA,"M","BOS","Hadzic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
940,"66","D","ENG","Stoney","passes.f.c",NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,"66","D","ENG","Stokes","lost.touch",NA,NA,NA,"D","BOS","Dijakovic","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
942,"66","GK","BOS","Hodzic","passes.f",NA,NA,"goal.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,"66","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,"66","M","ENG","Nobbs","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,"66","M","ENG","Nobbs","passes.f",NA,NA,"headed","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,"66","D","BOS","Amira Spahic","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
946,"66","D","BOS","Amira Spahic","clearances",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
947,"66","D","ENG","Turner","passes.s.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,"66","M","ENG","Nobbs","passes.s.c",NA,NA,"lay.off","F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,"66","D","ENG","Turner","passes.b.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
950,"67","D","ENG","Houghton","passes.b.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,"67","D","ENG","Stoney","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952,"67","D","ENG","Stokes","passes.f.c",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,"67","F","ENG","Duggan","passes.s.c",NA,NA,NA,"F","BOS","Alisa Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,"67","M","ENG","Nobbs","shots.stopped.by.gk",NA,NA,NA,"GK","BOS","Hodzic","gk.s.o.g.stop",NA,"punched.to.danger",NA,NA,NA,NA,NA,NA,NA,NA
955,"67","M","ENG","Davison","aerial.won",NA,NA,NA,"M","BOS","Aleksic","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955,"67","-",NA,NA,NA,NA,NA,NA,"GK","BOS","Hodzic","gk.loose.balls.won",NA,"collected",NA,NA,NA,NA,NA,NA,NA,NA
956,"67","GK","BOS","Hodzic","passes.f.c",NA,NA,"gk.drop.kick","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
956,"67","-",NA,NA,NA,NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
957,"67","M","BOS","Seslija","passes.s",NA,NA,"headed","D","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
958,"67","D","ENG","Houghton","recoveries",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,"67","D","ENG","Houghton","movement",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,"67","D","ENG","Houghton","passes.f",NA,NA,NA,"M","BOS","Radeljic","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,"67","-",NA,NA,NA,NA,NA,NA,"M","BOS","Radeljic","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
961,"67","M","ENG","Davison","passes.b.c",NA,NA,"throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
962,"67","M","ENG","Nobbs","passes.f.c",NA,NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
963,"68","F","ENG","Duggan","movement",NA,NA,NA,"D","BOS","Amira Spahic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
963,"68","-",NA,NA,NA,NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,"68","F","ENG","Duggan","passes.b.c",NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
965,"68","M","ENG","Davison","passes.f.c",NA,NA,NA,"M","BOS","Radeljic","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966,"68","F","ENG","J Scott","passes.s.c",NA,NA,NA,"M","BOS","Hadzic","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966,"68","-",NA,NA,NA,NA,NA,NA,"D","BOS","Kulis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,"68","F","ENG","Duggan","passes.s",NA,NA,"corner.crosses","M","BOS","Aleksic","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
